"BehaviorSpace results (NetLogo 6.2.0)"
"/home/h2/s1426633/IPS-SPREADS-2-4-MM.nlogo"
"UPS1"
"08/04/2022 09:15:31:083 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","sanitation-felling","path-to-input","[step]","nhost1","nhost2","nhost3","prima1","prima2","prima3","count spruce","ncut1","ncut2","ncut3"
"56","0","input/4563/","46832","268","327","253","3.083409715857012","2.2749770852428965","1.2722273143904674","1091","0","0","0"
"51","0","input/4563/","48305","267","342","242","3.083409715857012","2.2694775435380383","1.2245646196150322","1091","0","0","0"
"55","0","input/4563/","47262","266","337","247","3.083409715857012","2.2722273143904674","1.2447296058661779","1091","0","0","0"
"58","0","input/4563/","47630","260","328","262","3.083409715857012","2.294225481209899","1.2905591200733273","1091","0","0","0"
"59","0","input/4563/","46845","267","328","254","3.083409715857012","2.2758936755270396","1.2722273143904674","1091","0","0","0"
"52","0","input/4563/","47032","267","330","251","3.083409715857012","2.2731439046746105","1.2676443629697525","1091","0","0","0"
"60","0","input/4563/","47679","263","323","261","3.083409715857012","2.285976168652612","1.2988084326306142","1091","0","0","0"
"61","0","input/4698/","43286","38","51","103","4.533365338454153","4.4306289006241","4.293807009121459","2083","0","0","0"
"62","0","input/4698/","43907","39","54","108","4.533365338454153","4.4272683629380705","4.28276524243879","2083","0","0","0"
"63","0","input/4698/","44132","44","67","172","4.533365338454153","4.413346135381661","4.237157945271243","2083","0","0","0"
"68","0","input/4698/","44091","39","55","120","4.533365338454153","4.42774843975036","4.2818050888142105","2083","0","0","0"
"71","0","input/4704/","40202","8","4","0","4.8054323725055434","4.779379157427938","4.766075388026607","1804","0","0","0"
"66","0","input/4698/","43670","42","54","124","4.533365338454153","4.41958713394143","4.27412385981757","2083","0","0","0"
"64","0","input/4698/","43180","41","58","139","4.533365338454153","4.42198751800288","4.267402784445511","2083","0","0","0"
"67","0","input/4698/","43482","41","55","118","4.533365338454153","4.42198751800288","4.27652424387902","2083","0","0","0"
"72","0","input/4704/","34325","8","4","0","4.8054323725055434","4.779379157427938","4.766075388026607","1804","0","0","0"
"69","0","input/4698/","43853","41","63","134","4.533365338454153","4.421507441190591","4.257321171387422","2083","0","0","0"
"65","0","input/4698/","44875","44","69","158","4.533365338454153","4.412866058569371","4.230916946711474","2083","0","0","0"
"73","0","input/4704/","35089","7","4","0","4.8054323725055434","4.782150776053215","4.768847006651884","1804","0","0","0"
"74","0","input/4704/","33878","6","3","0","4.8054323725055434","4.785476718403547","4.77549889135255","1804","0","0","0"
"75","0","input/4704/","30524","6","4","0","4.8054323725055434","4.785476718403547","4.772172949002218","1804","0","0","0"
"76","0","input/4704/","29874","6","4","0","4.8054323725055434","4.785476718403547","4.772172949002218","1804","0","0","0"
"77","0","input/4704/","33279","7","5","0","4.8054323725055434","4.782150776053215","4.765521064301552","1804","0","0","0"
"78","0","input/4704/","39515","7","4","0","4.8054323725055434","4.782150776053215","4.768847006651884","1804","0","0","0"
"79","0","input/4704/","32518","8","5","0","4.8054323725055434","4.778824833702883","4.762195121951219","1804","0","0","0"
"80","0","input/4704/","32533","7","4","0","4.8054323725055434","4.782150776053215","4.768847006651884","1804","0","0","0"
"70","0","input/4698/","44324","40","53","107","4.533365338454153","4.4248679788766205","4.28324531925108","2083","0","0","0"
"81","0","input/4822/","47699","95","109","88","4.1284210526315785","3.296842105263158","2.3263157894736843","475","0","0","0"
"91","0","input/5240/","8098","0","0","0","4.417153996101365","0","0","1539","0","0","0"
"92","0","input/5240/","8084","0","0","0","4.417153996101365","0","0","1539","0","0","0"
"93","0","input/5240/","8088","0","0","0","4.417153996101365","0","0","1539","0","0","0"
"94","0","input/5240/","8087","0","0","0","4.417153996101365","0","0","1539","0","0","0"
"95","0","input/5240/","8094","0","0","0","4.417153996101365","0","0","1539","0","0","0"
"96","0","input/5240/","8124","0","0","0","4.417153996101365","0","0","1539","0","0","0"
"97","0","input/5240/","8083","0","0","0","4.417153996101365","0","0","1539","0","0","0"
"84","0","input/4822/","47468","93","106","91","4.1284210526315785","3.311578947368421","2.3642105263157895","475","0","0","0"
"98","0","input/5240/","8059","0","0","0","4.417153996101365","0","0","1539","0","0","0"
"82","0","input/4822/","48306","92","107","92","4.1284210526315785","3.32","2.3642105263157895","475","0","0","0"
"99","0","input/5240/","8097","0","0","0","4.417153996101365","0","0","1539","0","0","0"
"100","0","input/5240/","8126","0","0","0","4.417153996101365","0","0","1539","0","0","0"
"101","0","input/5264/","8137","0","0","0","5.42827868852459","0","0","1464","0","0","0"
"103","0","input/5264/","8146","0","0","0","5.42827868852459","0","0","1464","0","0","0"
"102","0","input/5264/","8144","0","0","0","5.42827868852459","0","0","1464","0","0","0"
"104","0","input/5264/","8136","0","0","0","5.42827868852459","0","0","1464","0","0","0"
"105","0","input/5264/","8113","0","0","0","5.42827868852459","0","0","1464","0","0","0"
"85","0","input/4822/","48224","98","109","84","4.1284210526315785","3.265263157894737","2.296842105263158","475","0","0","0"
"106","0","input/5264/","8124","0","0","0","5.42827868852459","0","0","1464","0","0","0"
"87","0","input/4822/","47872","94","103","92","4.1284210526315785","3.3073684210526317","2.3747368421052633","475","0","0","0"
"88","0","input/4822/","48677","93","109","94","4.1284210526315785","3.313684210526316","2.334736842105263","475","0","0","0"
"83","0","input/4822/","48755","95","110","97","4.1284210526315785","3.296842105263158","2.305263157894737","475","0","0","0"
"107","0","input/5264/","8099","0","0","0","5.42827868852459","0","0","1464","0","0","0"
"108","0","input/5264/","8116","0","0","0","5.42827868852459","0","0","1464","0","0","0"
"110","0","input/5264/","8112","0","0","0","5.42827868852459","0","0","1464","0","0","0"
"109","0","input/5264/","8130","0","0","0","5.42827868852459","0","0","1464","0","0","0"
"86","0","input/4822/","48638","96","109","87","4.1284210526315785","3.28","2.3157894736842106","475","0","0","0"
"111","0","input/5265/","8105","0","0","0","4.593360995850622","0","0","723","0","0","0"
"112","0","input/5265/","8131","0","0","0","4.593360995850622","0","0","723","0","0","0"
"115","0","input/5265/","8141","0","0","0","4.593360995850622","0","0","723","0","0","0"
"114","0","input/5265/","8131","0","0","0","4.593360995850622","0","0","723","0","0","0"
